127.0.0.1 - - [13/Jul/2017:16:24:21 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:28 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:28 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:29 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:29 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:30 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:30 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:30 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:30 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:30 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:31 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:31 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:31 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Jul/2017:16:24:31 +0800] "GET /TomcatTest/HelloServlet HTTP/1.1" 200 32
